"date","confirm"
2020-02-22,14
2020-02-23,62
2020-02-24,53
2020-02-25,97
2020-02-26,93
2020-02-27,78
2020-02-28,250
2020-02-29,238
2020-03-01,240
2020-03-02,561
2020-03-03,347
2020-03-04,466
2020-03-05,587
2020-03-06,769
2020-03-07,778
2020-03-08,1247
2020-03-09,1492
2020-03-10,1797
2020-03-11,977
2020-03-12,2313
2020-03-13,2651
2020-03-14,2547
2020-03-15,3497
2020-03-16,2823
2020-03-17,4000
2020-03-18,3526
2020-03-19,4207
2020-03-20,5322
2020-03-21,5986
2020-03-22,6557
2020-03-23,5560
2020-03-24,4789
2020-03-25,5249
2020-03-26,5210
2020-03-27,6153
2020-03-28,5959
2020-03-29,5974
2020-03-30,5217
2020-03-31,4050
2020-04-01,4053
2020-04-02,4782
2020-04-03,4668
2020-04-04,4585
2020-04-05,4805
2020-04-06,4316
2020-04-07,3599
2020-04-08,3039
2020-04-09,3836
2020-04-10,4204
2020-04-11,3951
2020-04-12,4694
2020-04-13,4092
2020-04-14,3153
2020-04-15,2972
2020-04-16,2667
2020-04-17,3786
2020-04-18,3493
2020-04-19,3491
2020-04-20,3047
2020-04-21,2256
2020-04-22,2729
2020-04-23,3370
2020-04-24,2646
2020-04-25,3021
2020-04-26,2357
2020-04-27,2324
2020-04-28,1739
2020-04-29,2091
2020-04-30,2086
2020-05-01,1872
2020-05-02,1965
2020-05-03,1900
2020-05-04,1389
2020-05-05,1221
2020-05-06,1075
2020-05-07,1444
2020-05-08,1401
2020-05-09,1327
2020-05-10,1083
2020-05-11,802
2020-05-12,744
2020-05-13,1402
2020-05-14,888
2020-05-15,992
2020-05-16,789
2020-05-17,875
2020-05-18,675
2020-05-19,451
2020-05-20,813
2020-05-21,665
2020-05-22,642
2020-05-23,652
2020-05-24,669
2020-05-25,531
2020-05-26,300
2020-05-27,397
2020-05-28,584
2020-05-29,593
2020-05-30,516
2020-05-31,416
2020-06-01,355
2020-06-02,178
2020-06-03,318
2020-06-04,321
2020-06-05,177
2020-06-06,518
2020-06-07,270
2020-06-08,197
2020-06-09,280
2020-06-10,283
2020-06-11,202
2020-06-12,379
2020-06-13,163
2020-06-14,346
2020-06-15,338
2020-06-16,301
2020-06-17,210
2020-06-18,328
2020-06-19,331
2020-06-20,0
2020-06-21,264
2020-06-22,224
2020-06-23,221
2020-06-24,113
2020-06-25,577
2020-06-26,296
2020-06-27,255
2020-06-28,175
2020-06-29,174
2020-06-30,126
